text,label
"Great movie! Loved every minute.",1
"Terrible film. Waste of time.",0
"Amazing acting and story.",1
"Boring and predictable.",0
"One of the best films this year!",1
"The cast delivers career-best performances throughout.",1
"Wooden acting ruined an otherwise fine script.",0
"The plot twists kept me guessing until the finale.",1
"A messy plot with no coherent narrative.",0
"Stunning cinematography — every frame is a painting.",1
"Flat visuals and cheap CGI.",0
"The pacing drags badly in the second act.",0
"Relentless pacing had me on the edge of my seat.",1
"A powerful score elevates every emotional beat.",1
"The soundtrack felt generic and forgettable.",0
